Channel 1,Channel 2,Channel 3,Channel 4
1113.6517333984375,690.8917236328125,778.07568359375,1269.9248046875
1070.8822021484375,690.8917236328125,769.850830078125,1171.2259521484375
1087.33203125,690.8917236328125,779.720703125,1217.285400390625
1092.2669677734375,690.8917236328125,796.1704711914062,1217.285400390625
1092.2669677734375,585.6129760742188,796.1704711914062,1217.285400390625
1062.6573486328125,585.6129760742188,781.3656616210938,1177.805908203125
1095.556884765625,638.2523803710938,801.1054077148438,1256.7650146484375
1103.7818603515625,638.2523803710938,792.8805541992188,1276.5047607421875
1082.3970947265625,796.1704711914062,771.4957885742188,1223.8653564453125
1061.0123291015625,743.5311279296875,781.3656616210938,1190.9658203125
1098.846923828125,743.5311279296875,797.8154907226562,1237.0252685546875
1103.7818603515625,743.5311279296875,817.5552368164062,1263.3448486328125
1065.947265625,585.6129760742188,799.46044921875,1184.3858642578125
1093.9119873046875,690.8917236328125,773.1407470703125,1269.9248046875
1100.4918212890625,796.1704711914062,778.07568359375,1269.9248046875
1093.9119873046875,796.1704711914062,784.6556396484375,1230.4453125
1062.6573486328125,690.8917236328125,784.6556396484375,1171.2259521484375
1095.556884765625,743.5311279296875,791.2355346679688,1263.3448486328125
1087.33203125,638.2523803710938,783.0106201171875,1269.9248046875
1074.172119140625,585.6129760742188,778.07568359375,1213.9954833984375
1065.947265625,638.2523803710938,779.720703125,1194.2557373046875
1092.2669677734375,638.2523803710938,796.1704711914062,1238.670166015625
1103.7818603515625,585.6129760742188,797.8154907226562,1243.6051025390625
1084.0419921875,480.3342590332031,771.4957885742188,1197.545654296875
1097.201904296875,532.9736328125,776.4307250976562,1255.1199951171875
1105.4267578125,532.9736328125,797.8154907226562,1230.4453125
1108.716796875,532.9736328125,804.3953857421875,1232.09033203125
1088.9769287109375,532.9736328125,778.07568359375,1184.3858642578125
1118.586669921875,638.2523803710938,789.590576171875,1264.9898681640625
1123.5216064453125,638.2523803710938,797.8154907226562,1266.6348876953125
1123.5216064453125,638.2523803710938,786.3005981445312,1235.3802490234375
1103.7818603515625,585.6129760742188,764.9158325195312,1210.70556640625
1135.036376953125,690.8917236328125,781.3656616210938,1276.5047607421875
1123.5216064453125,1006.7279663085938,804.3953857421875,1263.3448486328125
1105.4267578125,585.6129760742188,787.945556640625,1179.450927734375
1113.6517333984375,796.1704711914062,784.6556396484375,1255.1199951171875
1125.16650390625,690.8917236328125,796.1704711914062,1271.56982421875
1131.7464599609375,690.8917236328125,787.945556640625,1276.5047607421875
1085.68701171875,690.8917236328125,758.3359375,1204.1256103515625
1121.8765869140625,690.8917236328125,774.7857666015625,1250.18505859375
1118.586669921875,901.44921875,796.1704711914062,1268.27978515625
1121.8765869140625,796.1704711914062,796.1704711914062,1245.2501220703125
1093.9119873046875,796.1704711914062,769.850830078125,1217.285400390625
1118.586669921875,901.44921875,799.46044921875,1283.084716796875
1130.1014404296875,690.8917236328125,781.3656616210938,1260.054931640625
1098.846923828125,690.8917236328125,779.720703125,1190.9658203125
1102.1368408203125,585.6129760742188,753.4010009765625,1235.3802490234375
1097.201904296875,1006.7279663085938,792.8805541992188,1248.5400390625
1102.1368408203125,901.44921875,802.7504272460938,1246.8951416015625
1064.30224609375,690.8917236328125,761.6259155273438,1156.421142578125
1082.3970947265625,1006.7279663085938,801.1054077148438,1237.0252685546875
1095.556884765625,585.6129760742188,774.7857666015625,1261.699951171875
1088.9769287109375,690.8917236328125,779.720703125,1260.054931640625
1056.077392578125,690.8917236328125,753.4010009765625,1200.835693359375
1082.3970947265625,796.1704711914062,783.0106201171875,1261.699951171875
1080.7520751953125,796.1704711914062,799.46044921875,1274.8597412109375
1064.30224609375,585.6129760742188,761.6259155273438,1220.575439453125
1042.91748046875,796.1704711914062,781.3656616210938,1225.5103759765625
1072.5272216796875,796.1704711914062,787.945556640625,1269.9248046875
1093.9119873046875,796.1704711914062,771.4957885742188,1296.2445068359375
1049.4974365234375,901.44921875,786.3005981445312,1172.8709716796875
1064.30224609375,796.1704711914062,789.590576171875,1223.8653564453125
1080.7520751953125,796.1704711914062,783.0106201171875,1248.5400390625
1069.2371826171875,796.1704711914062,801.1054077148438,1230.4453125
1041.2725830078125,848.8098754882812,786.3005981445312,1204.1256103515625
1074.172119140625,1059.3673095703125,812.6203002929688,1256.7650146484375
1092.2669677734375,848.8098754882812,778.07568359375,1256.7650146484375
1074.172119140625,901.44921875,756.6909790039062,1230.4453125
1041.2725830078125,954.088623046875,789.590576171875,1177.805908203125
1085.68701171875,796.1704711914062,783.0106201171875,1230.4453125
1087.33203125,848.8098754882812,801.1054077148438,1230.4453125
1067.59228515625,585.6129760742188,773.1407470703125,1177.805908203125
1084.0419921875,796.1704711914062,789.590576171875,1256.7650146484375
